year,countries_with_data,mean,median,std,min,max,q25,q75
1962,1,37.5,37.5,,37.5,37.5,37.5,37.5
1963,1,39.375,39.375,,39.375,39.375,39.375,39.375
1964,1,41.25,41.25,,41.25,41.25,41.25,41.25
1965,2,21.914994577006507,21.914994577006507,29.995477327204295,0.704989154013015,43.125,11.309991865509762,32.519997288503255
1966,2,22.899132321041215,22.899132321041215,31.255346811796702,0.79826464208243,45.0,11.848698481561822,33.949566160520604
1967,2,23.883270065075923,23.883270065075923,32.515216296389106,0.891540130151844,46.875,12.387405097613883,35.37913503253796
1968,2,24.867407809110627,24.867407809110627,33.77508578098152,0.984815618221258,48.75,12.926111713665945,36.808703904555315
1969,2,25.851545553145336,25.851545553145336,35.03495526557393,1.07809110629067,50.625,13.464818329718002,38.23827277657267
1970,16,26.343786157105296,9.667241379310346,50.59716956895025,0.509316770186335,205.79,2.0792451573619526,22.6700789335885
1971,16,27.190255975304325,10.479333333333349,51.07590856144654,0.523897435897436,207.413333333333,2.10800262587053,23.5407458080194
1972,16,28.023600793701934,11.291425287356304,51.52148102276921,0.534974358974359,208.826666666667,2.136760094379117,24.328451606212525
1973,16,28.856945611900965,12.103517241379311,51.9831177677527,0.546051282051282,210.24,2.165517562887695,25.1161574044057
1974,17,28.713581382069066,13.0861504907306,50.953943864205755,0.557128205128205,211.653333333333,2.41087719298246,23.9705223880597
1975,34,191.59949944504191,25.3764120399196,821.0655446748693,0.568205128205128,4820.0,8.80058934682058,58.11404584969152
1976,35,189.3171484405155,25.8429104477612,815.7553547805297,0.579282051282051,4858.333333,8.542096362777514,58.9626176247897
1977,35,192.23938918274476,27.8934993084371,822.034304385489,0.590358974358974,4896.666667,8.680956549303259,63.5721435501963
1978,35,195.1618805211396,28.7005532503458,828.3233097487611,0.601435897435897,4935.0,8.819816734116674,68.18166946859225
1979,35,198.07828163493855,29.5076071922545,834.6221359574272,0.612512820512821,4973.333333,8.95867692064242,76.09489774003995
1980,54,152.24220076775566,25.30584326749685,681.5677797523064,0.0635294117647059,5011.666667,8.828448275862069,74.25312500000003
1981,54,156.8667032740898,25.51378863370695,687.5350469373658,0.064,5050.0,8.87810344827586,74.39712500000002
1982,55,158.5676017913791,25.0987710356164,687.5540049637034,0.0644705882352941,5088.333333,7.607598156367359,74.69408333333335
1983,55,163.0892628161888,25.0833333333333,693.7975422201054,0.0649411764705882,5126.666667,7.485155343120516,75.41508333333334
1984,56,164.70426071216116,25.900641025641,694.1402455682537,0.0654117647058823,5165.0,6.49532898289829,74.82912500000003
1985,61,155.30970421230182,21.5888157916667,672.4215386176926,0.0658823529411765,5203.333333,3.75,67.0952380952381
1986,62,155.81578363201766,21.5424872533915,673.2909009071903,0.0723529411764706,5241.666667,3.5408722741433,63.05734583632727
1987,90,109.919270301512,6.6268064806480655,567.259082605833,0.013758865248227,5280.0,0.9310281203125763,36.06208184251435
